new_la_code,la_name,imd,ehfs_sp_2011,ehfs_sp_2012,ehfs_sp_2013,ehfs_sp_2014,ehfs_sp_2015,ehfs_sp_2016,ehfs_sp_2017,ehfs_sp_2018,ehfs_sp_2019,cin_2011,cin_2012,cin_2013,cin_2014,cin_2015,cin_2016,cin_2017,cin_2018,cin_2019,region,inr_ldn
E08000013,St. Helens,29.81,6.650460144737036,5.800152698475895,6.227662517495901,6.234567576161796,5.634182275926246,5.4066335100314955,5.220085518278463,5.264036432571163,5.259576538231606,6.039540170339545,5.942904356492605,6.062575174565935,6.026107490551522,6.119197913617533,6.208590026096629,6.236760903063325,6.059520312981926,6.200225158054739,North West,0
E08000007,Stockport,19.11,6.13200879210029,5.874986909049287,5.801090657123199,5.551640886363379,5.5002372814106195,5.417477231717294,5.468819346536649,5.3648538903482805,5.227519295239321,5.471429984256681,5.7383771194207,5.619313318029751,5.569488886872828,5.612397912854348,5.765504533284198,5.688668836846153,5.767226647212736,5.76857096454898,North West,0
E08000008,Tameside,29.38,6.500418420241177,5.859103897467798,5.3338292875493964,5.328895067012175,5.2278949022514904,5.087596335232384,5.09809656986625,5.7660997807210626,5.68758533975363,5.855644823965447,5.8763061889700445,5.652524267372389,5.6957503029589365,5.700443573390687,5.6153154933338705,6.32704352775198,6.225726064156039,6.185035096079827,North West,0
E08000009,Trafford,15.39,6.217503901534218,5.973987713056649,6.0374889854192615,5.800152698475895,5.731559755655647,5.282086353437619,5.1286553387008365,4.8696092197094725,4.886582645426277,5.542047551470635,5.526090186245908,5.530618855647012,5.5801071132949795,5.600641715736688,5.644739934022418,5.589119566336061,5.5981997120811355,5.674456645274372,North West,0
E06000007,Warrington,19.31,5.951319406803555,5.568115469901257,5.5543152547331935,5.55651913367731,5.616989255686562,5.740532188686234,5.318855017765585,5.473656267914107,5.434900348334571,5.512621969195042,5.509590745291759,5.465017542439035,5.483966713434666,5.46763811116474,5.708106446136256,5.789654313730165,5.633109621361155,5.7197542441659,North West,0
E08000010,Wigan,24.86,6.299041154397021,6.12029741895095,5.977796564342562,5.927006022770581,5.82452409235233,5.685007319329867,5.657564000854586,5.523858042461968,5.438209735199927,5.96435025461641,5.834313537455971,5.74748032992192,5.733988316713267,5.918625000931025,5.700109069289892,5.736572297479192,5.538986444728065,5.698568907603313,North West,0
E08000015,Wirral,26.89,6.2700617266071585,6.257686744787267,6.162514483863872,5.999358309227082,5.860501282589169,5.721982511300152,5.5880348661118875,5.546738725046515,5.5475574225835205,6.098298976021809,6.062831265456319,6.03495497818251,5.981666704627871,6.055143323771165,5.984439932171018,6.04784488054409,6.064343192520554,6.037369600965363,North West,0
E08000016,Barnsley,29.57,6.749380691001656,6.261377173948186,6.12844000213506,5.994260634409983,6.232369428000834,6.0579542883768145,5.5092668717615405,5.452882246296949,5.448675148136593,5.604698516432302,5.543339819580688,5.483551344789026,5.413430173648541,5.93330563293445,5.792098555704769,5.739149618493492,5.708073256073358,5.654066882410268,Yorkshire and the Humber,0
E08000032,Bradford,33.17,6.275082120663786,6.011757250375744,5.795328001280299,5.714590523372793,5.625532603335144,5.500441550638171,5.341616290943184,5.2807642073004475,5.1872740677547124,5.642970335259443,5.61316460207246,5.605434351638425,5.712411801354255,5.6185876285929695,5.616043560348194,5.640132447579745,5.75602698316279,5.954852428611249,Yorkshire and the Humber,0
E08000033,Calderdale,24.61,6.139431863571309,6.385042616821721,6.366298611662624,6.08822821554029,6.051547845964989,5.9649665558017535,5.863204948412558,5.7436119768188165,5.737313957864994,5.765191102784844,5.912854146526071,6.049497578358592,5.611301621862036,5.603593747400769,5.707774495925738,5.699774453258662,5.752382144492263,5.825941108589908,Yorkshire and the Humber,0
E08000017,Doncaster,29.05,6.224617833451491,6.121703024031711,5.959251224743331,5.936533063581764,5.6298129544560265,5.4207562137406144,5.3855037282269524,5.506103595541204,5.436817643793142,5.980150787207709,6.484497821614225,6.228925119016985,5.846149715943123,5.875492370855561,5.944634959751184,6.001909804969521,6.089815553454934,6.012345024687337,Yorkshire and the Humber,0
